key,score,victim,attacker
"('0x9ea4c19a7457fc9ab64267ad18a76cc929b5eafe5c69ab8cda0dd981c3fec7b0', 6)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0xbc48a7407c4791b7d17825fddb43ed620a60185f
"('0xc1976432c46d9ce40a530b637e18eeb6d2667f20cd63af98b54280668a0b8fec', 247)",7,0x7eaced2366d885dbc55863cb038ef78f2339154e,0x000000000000000000000000000000000000dead
"('0x51c63857d0219ce15902c6e45fdc44f9198e3f237b94abaa7a90c4864a3b8f66', 88)",3,0x12e53c7f831a25ae286e183a4825245efea6adcf,0x12e7a9423d9128287e63017ee6d1f20e1c237f15
"('0x3ec444081410ffb589f7b3364525b4012faf410e3706e34ed6ef95b86b417777', 1)",8.0,0x7b723f7ab31aa65d6a25c8696f1016c239b0f3aa,0x000000000000000000000000000000000000dead
"('0xb5b397bd6943def37abaa65e84c7fed24960332d984b822a226a956933e5d799', 89)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x65322dc90aeddca0c0110b7d84d95261529aa777
"('0x87742c8ec6003e79a82524e29873c78d6b80bdef2398c23f8a685ad264f19b75', 80)",4,0xf45087415e565dcc797d553012ca900e2c2ffe84,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x28dead00dc90eaeeeeb0a7fafae18793a9ee468c75b27c2a50da3645371f3f3e', 54)",4,0xe7048ab8dfa7f7a80d79fd6c5acf8b0c1d174fdf,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x163536a7e8dc32f16794b0b95d92ec374e19458de5d0cbbf1541b9cb6fa54e56', 37)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x749cbb7975749e864ddb7e34f5d3464806b5fbcd
"('0xf73bf954fb5bb2094c4ad9167e67c22f47ad02439f52965eeea6000fec0858b5', 87)",4,0xfab76336c9dc9e029117643da6000536357f3bc8,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xb864ade6d61cdfc60619d9c86dddae959349bbcb688e8435362a253b57feec00', 37)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0x216be7c69b28c8c06d18732026adb80205765806
"('0x37519149f50a7a721343a64bc9e96e117263b27b530d042ca0f5a04ed799b33d', 97)",4,0x9ff633c74818a50402085e1105623702c1bea52d,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xf775379212b3a400fa1f2f8cf68bb348eacc3f57956756af64f7a0849f367640', 65)",4,0x627306090abab3a6e1400e9345bc60c78a8bef57,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x4f3428f5c9c8b7fca8010f904e8264b7f12b7d805c6797b2b57f9305ec30e813', 114)",4,0xfcafb09c7ed95b0f25086ab4a9b88e76dc9e1d56,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x1d8bda6f9605f7b2567565ad03a243ad851af049a38a202f6f5f9f5a029f66b8', 81)",3,0x1353b2bc10d589807185dc7989d68da251d3d91e,0x13598fd0986d0e33c402f6907f05acf720224527
"('0x8f5a7d26599434758900e1514075b62d07cab5c554e449a685da4ff559721a3d', 8)",3,0x1478de2d33b7c51a74b2af848cd15d9d3fb8bf3c,0x1234561fed41dd2d867a038bbdb857f291864225
"('0x52fb9e3e97b6b558c31866a232f985822f307e95ddf668a74269bea5cf9e787b', 478)",3,0xa723c420978ef8f490b2dc64d431482d417e0b7a,0xa72bf9cdda21e9b4cc982f7706ee330178902087
"('0x93e4b2c696aeac020c69068fa914471748762c8a40e4702fc69ea9e9c2758b03', 39)",4,0x5dcd51bc0c178c0c002632cfc24c4764bddb56e3,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x855eefcc3a9001f0a749e6d0c44c448449ddc4d1183cd5fb2bd476698260b09b', 128)",3,0xf71205d100171472328ba539bf7d956ff41bd9ab,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de
"('0xcd7be0ab5c4a6641d080b13df8f760f85d099b0fe6aa0a57de7df3f95a72ff53', 314)",3,0x4a2c213e522e492f7ce6c33dcf86dd742d31535a,0x0000c825f20f040f6b2fc59493a9bd48adbb4fcb
"('0xecdf947c57c0ec8b06b629177d1c6baa1e7b72eb2b85091d4e9b436567e0e396', 14)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x43f52ab27a684abc9e7b21a3ceba28526fb2d2ee
"('0xdb27cd167d9e1839b0b2f044e5b957ef99cfcd4fe73e223ca3c72c0bf6e623f4', 111)",4,0x8548a3363a5dab8480d5d54cf050eef15a8cabbc,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x27faf87cc3426dea580ae7f5c7bd026726258f4e9b23fa444bcf384b7fc15c8f', 19)",3,0x3fc11d26daf4f300813c338c9ea651a2c0a5460b,0x1353b2bc10d589807185dc7989d68da251d3d91e
"('0x2535afc54866efe0a40c0c134f42489882b7326f8bc589f6e235c0a61dee4dad', 125)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0x2aebc2fe26c8e4e79246d679ea23339906dc79ed
"('0x4e1b7251dc55ef9073265874df1699aac791952bdb4354c5b283d1729e96c393', 42)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0xb1d67ccacf4416f726615d42f27bcd1cc45e03c1
"('0x8fe91275d12f06b4df6cfb4611513c089c4d08496fe669a8887582658a4297ca', 93)",3,0x4792acd20c6767cc0167b00b3faf7f5c5dca0bd5,0x47977ffc5a3b36837c6300a74a2f726658cb53eb
"('0xe60dff9a75d85f28734d28f87730e5ba8825b401c526d8b76ea5ab0181d93479', 12)",3,0x2a98158166be71d21dd97e248ba670211df9a73c,0x37a4a749070531fc7287ca4528b03593ecefdc6d
"('0x3d2d364d74cabcc9e92d9d2cb037c385de890dcba4746eba3e0d3cbd7fb92730', 94)",5.0,0x26f3a3f7bc738b3ddc8b9b7383e2a25161c47add,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x015de5223ddc017c7245521e899e83812c50109ec2d9c9ddc6e6970926aeefe4', 17)",4.0,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0xf1e77d6addf4697d25510b8bed726913e88f3c35
