transaction_key,attacker,score,top_address,victim
"('0x5cd1f3f4d38d253ae57557aacea865732b31dc7e1cc626d8f8cbe4543f727aed', 4)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,3.0,0x0bebeb5679115f143772cfd97359bbcc393d46b3,0x4f50fa7bb23870dd3f7c3b0964081e9595ad9377
"('0x704cff710984695bffcb0c732d7cb84e8225f84b2f18367ef93a2077493251ca', 222)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xeed9950209e2a00538c719d7908bbd1ee485444be5bb6e5d9fe984b847d3b887', 16)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x0c33091ed9a13d5734100e63c8c561e185aa83b8119a1dfdc81110f005fab404', 22)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0xa4ee33039ac6e487a6219a205f01f36d598bcfdef16ea62a7a216eae47fcfaad', 4)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,3.0,0xdb8b59ae748b2b112c95462b929fb6c01a3ce308,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0x603b00560521bae220d2ac4567095b2512798ab84e552e23001cd8e89bdbefe4', 10)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x1ffab4eb003ffc6e3489290248f7da1a26392e390ae758efdc8f40899ffb92c6', 34)",0xc873fecbd354f5a56e00e710b90ef4201db2448d,3.0,0xc8780edcd4ff38dd4c2df80bcad03201aeaa56b7,0x6a78e84fa0edad4d99eb90edc041cdbf85925961
"('0xd7d54c859371358986a882162a3356468e094b7360d910c2716f4dd043d06547', 8)",0x0000000000bf41eb500675cabaa1223e3c1ab90f,10.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xb1c2910ba402001102f741a6e1e8b3ad842b8d6754b42c517a7100f8b2acf81f', 28)",0xc873fecbd354f5a56e00e710b90ef4201db2448d,3.0,0xc877d91a16a5fb483dd96a4a00ede9b240374a25,0x6a78e84fa0edad4d99eb90edc041cdbf85925961
"('0x588eb82c369a8066b9b7af56c26b0add1cfe2f89d26f8fa12d2bcc9a72f96699', 14)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xc0f3782ecd759f780428c7805dd53365a809932bc61722f93b9bd417059d438d', 2)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3.0,0x6a779de113d2dbf95f27b2fbd49cec344cfddb3d,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x89f58ee59e9deccb87fe32e1ecabed44d2787ffcdfa07953ea40d697d633d17c', 50)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0xf16782c9c2436d51caac1de8cc985c8c0631fc29163ca2075539024a159e4a15', 8)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,3.0,0xdb8da4d960ceccaa83793842ca0939b0b4949b39,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0x8c1c870295e574bcd7c326d948dbccf617d9e8de2b66db2576eba15c71b2b038', 84)",0x0000000000bf41eb500675cabaa1223e3c1ab90f,10.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xefb5c98e9c675a68a73ca1e363699827d13d8e42aca012aee13f0f39dc8ee2b8', 6)",0x9aed3a8896a85fe9a8cac52c9b402d092b629a30,3.0,0x9aee9472a9a3e1ad31c57bd4c70061796ca2afed,0xeff23b4be1091b53205e35f3afcd9c7182bf3062
"('0x0d5e3a739ed559824a1bb2a1bfbe23650d3d813d1cda6c9f1a897d22c865e846', 6)",0x22ffea32a081b4617d7d66520398642c761739b7,3.0,0x22f851bcf7353d072ed5cce3caff096195d2794e,0xc873fecbd354f5a56e00e710b90ef4201db2448d
"('0xd3f95e03f7344f26586041cf759bba5cb42e95610bf8424162d12581536135c5', 32)",0x0000000000bf41eb500675cabaa1223e3c1ab90f,10.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0x619bdf5285e39d89b133902cc765dc27b21fbdf978202afb5c630340ed0f6e9c', 42)",0x000000000049394d8ce760c9094f1abeac6b9d80,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0x30eebfded196bd205bba38987564a0d853d1374e743d8d5b09078e5a68a787db', 30)",0xc873fecbd354f5a56e00e710b90ef4201db2448d,3.0,0xc8780edcd4ff38dd4c2df80bcad03201aeaa56b7,0x6a78e84fa0edad4d99eb90edc041cdbf85925961
"('0x807fc2496cd5cae79fe4dabd6a8166406c356a9444d43f413ac0bf371b666859', 8)",0x9bba438cf450374453bd4de3b1a6d56835af5e85,3.0,0x9bb040c4b0a26e60be9ad2221a2c59d735655aec,0x149e36e72726e0bcea5c59d40df2c43f60f5a22d
